Hasta 30 días,31-90 días,91-180 días,181-360 días,Más de 360 días,Institución,Tipo,Fecha
0.01,0.10,0.10,0.11,0.23,BBVA,Banco,20/12/2020
----,1.36,3.14,3.74,4.97,Comercio,Banco,20/12/2020
0.06,0.11,0.33,0.30,0.52,Crédito,Banco,20/12/2020
2.75,2.75,2.75,3.00,3.00,Pichincha,Banco,20/12/2020
0.89,1.39,2.68,2.64,4.02,BIF,Banco,20/12/2020
0.05,0.04,0.17,0.30,0.47,Scotiabank,Banco,20/12/2020
----,----,----,----,----,Citibank,Banco,20/12/2020
----,0.63,0.68,0.78,0.87,Interbank,Banco,20/12/2020
0.36,0.78,1.39,2.01,2.73,Mibanco,Banco,20/12/2020
0.75,----,----,5.00,5.61,GNB,Banco,20/12/2020
----,1.80,2.14,2.93,3.19,Falabella,Banco,20/12/2020
----,----,----,----,----,Santander,Banco,20/12/2020
0.50,0.50,----,2.35,3.72,Ripley,Banco,20/12/2020
1.80,2.50,3.25,3.85,4.15,Azteca,Banco,20/12/2020
----,----,----,----,----,ICBC,Banco,20/12/2020
----,----,----,----,----,Bank of China,Banco,20/12/2020
0.13,0.42,0.47,1.23,2.03,Promedio,Banco,20/12/2020
